Company_Identifier,CompanyName,Year,URL,Source_Page,Title,Source
S20,SAAB B,2019,https://mb.cision.com/Main/183/3029571/1189729.pdf,https://mfn.se/cis/a/saab/saab-year-end-report-2019-bc3a7ca1,Annual Report 2019 (MFN/Cision),mfn
S20,SAAB B,2019,https://mb.cision.com/Public/183/3029571/81fd74f86ff2a94b.pdf,https://mfn.se/cis/a/saab/saab-year-end-report-2019-bc3a7ca1,Annual Report 2019 (MFN/Cision),mfn
S20,SAAB B,2019,https://mb.cision.com/Main/183/2937653/1127031.pdf,https://mfn.se/cis/a/saab/saabs-results-january-september-2019-b9ac9eec,Annual Report 2019 (MFN/Cision),mfn
S20,SAAB B,2019,https://mb.cision.com/Public/183/2937653/97e97e968d1e8aa5.pdf,https://mfn.se/cis/a/saab/saabs-results-january-september-2019-b9ac9eec,Annual Report 2019 (MFN/Cision),mfn
S20,SAAB B,2020,https://mb.cision.com/Main/183/3300345/1382470.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-annual-and-sustainability-report-2020-f33a68fa,Annual Report 2020 (MFN/Cision),mfn
S20,SAAB B,2020,https://mb.cision.com/Public/183/3300345/8db7a40fa6a848cb.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-annual-and-sustainability-report-2020-f33a68fa,Annual Report 2020 (MFN/Cision),mfn
S20,SAAB B,2020,https://mb.cision.com/Main/183/3300253/1382433.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-annual-and-sustainability-report-2020-cfe29f1c,Annual Report 2020 (MFN/Cision),mfn
S20,SAAB B,2020,https://mb.cision.com/Public/183/3300253/af77a8d31cffeb08.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-annual-and-sustainability-report-2020-cfe29f1c,Annual Report 2020 (MFN/Cision),mfn
S20,SAAB B,2021,https://mb.cision.com/Main/183/3518932/1544477.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-2021-annual-and-sustainability-report-88b24582,Annual Report 2021 (MFN/Cision),mfn
S20,SAAB B,2021,https://mb.cision.com/Public/183/3518932/892f69b5ecc5d24f.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-2021-annual-and-sustainability-report-88b24582,Annual Report 2021 (MFN/Cision),mfn
S20,SAAB B,2021,https://mb.cision.com/Main/183/3324554/1400849.pdf,https://mfn.se/cis/a/saab/saabs-annual-general-meeting-was-held-on-13-april-2021-e4ac37b0,Annual Report 2021 (MFN/Cision),mfn
S20,SAAB B,2022,https://mb.cision.com/Main/183/3727336/1899082.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-2022-annual-and-sustainability-report-f3384ab7,Annual Report 2022 (MFN/Cision),mfn
S20,SAAB B,2022,https://mb.cision.com/Public/183/3727336/a8679af1624e8849.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-2022-annual-and-sustainability-report-f3384ab7,Annual Report 2022 (MFN/Cision),mfn
S20,SAAB B,2022,https://mb.cision.com/Main/183/3540985/1560813.pdf,https://mfn.se/cis/a/saab/saabs-annual-general-meeting-was-held-on-6-april-2022-in-linkoping-d26d6a04,Annual Report 2022 (MFN/Cision),mfn
S20,SAAB B,2023,https://mb.cision.com/Main/183/3937793/2639666.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-2023-annual-and-sustainability-report-ae59fcc3,Annual Report 2023 (MFN/Cision),mfn
S20,SAAB B,2023,https://mb.cision.com/Public/183/3937793/8b66bca1b8c3ed1e.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-2023-annual-and-sustainability-report-ae59fcc3,Annual Report 2023 (MFN/Cision),mfn
S20,SAAB B,2023,https://mb.cision.com/Main/183/3747108/1972206.pdf,https://mfn.se/cis/a/saab/report-from-saabs-annual-general-meeting-2023-20f605e6,Annual Report 2023 (MFN/Cision),mfn
S20,SAAB B,2024,https://mb.cision.com/Main/183/4113389/3296555.pdf,https://mfn.se/cis/a/saab/saab-publicerar-ars-och-hallbarhetsredovisning-for-2024-88309622,Annual Report 2024 (MFN/Cision),mfn
S20,SAAB B,2024,https://mb.cision.com/Public/183/4113389/a6c08205aa14ed4a.pdf,https://mfn.se/cis/a/saab/saab-publicerar-ars-och-hallbarhetsredovisning-for-2024-88309622,Annual Report 2024 (MFN/Cision),mfn
S20,SAAB B,2024,https://mb.cision.com/Main/183/4113322/3296554.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-2024-annual-and-sustainability-report-c5f88946,Annual Report 2024 (MFN/Cision),mfn
S20,SAAB B,2024,https://mb.cision.com/Public/183/4113322/86a5b2d8d1b2315b.pdf,https://mfn.se/cis/a/saab/saab-publishes-its-2024-annual-and-sustainability-report-c5f88946,Annual Report 2024 (MFN/Cision),mfn
S20,SAAB B,2024,https://mb.cision.com/Main/183/3960149/2727334.pdf,https://mfn.se/cis/a/saab/report-from-saabs-annual-general-meeting-2024-cd953e55,Annual Report 2024 (MFN/Cision),mfn
S25,SKF B,2019,https://mb.cision.com/Main/637/3052162/1205531.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2019-published-b340ed0c,Annual Report 2019 (MFN/Cision),mfn
S25,SKF B,2019,https://mb.cision.com/Public/637/3052162/9eab1698235609ba.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2019-published-b340ed0c,Annual Report 2019 (MFN/Cision),mfn
S25,SKF B,2020,https://mb.cision.com/Main/637/3299288/1381830.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2020-230159d5,Annual Report 2020 (MFN/Cision),mfn
S25,SKF B,2021,https://mb.cision.com/Main/637/3517209/1543197.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2021-is-published-online-ae91ecb6,Annual Report 2021 (MFN/Cision),mfn
S25,SKF B,2021,https://mb.cision.com/Public/637/3517209/9aa0beb57cc57054.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2021-is-published-online-ae91ecb6,Annual Report 2021 (MFN/Cision),mfn
S25,SKF B,2021,https://mb.cision.com/Main/637/3387274/1446635.pdf,https://mfn.se/cis/a/skf/skf-half-year-report-2021-record-operating-profit-b3e9d2c9,Annual Report 2021 (MFN/Cision),mfn
S25,SKF B,2022,https://mb.cision.com/Main/637/3725597/1883909.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2022-published-online-major-milestone-reached-for-own-renewable-energy-use-bda94d28,Annual Report 2022 (MFN/Cision),mfn
S25,SKF B,2022,https://mb.cision.com/Public/637/3725597/8b7e41b97dfcf7a8.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2022-published-online-major-milestone-reached-for-own-renewable-energy-use-bda94d28,Annual Report 2022 (MFN/Cision),mfn
S25,SKF B,2022,https://mb.cision.com/Main/637/3707543/1821591.pdf,https://mfn.se/cis/a/skf/skf-year-end-report-2022-strong-organic-sales-and-cash-flow-development-e1635e90,Annual Report 2022 (MFN/Cision),mfn
S25,SKF B,2023,https://mb.cision.com/Main/637/3939698/2642356.pdf,https://mfn.se/cis/a/skf/skf-annual-report-2023-published-online-on-track-to-deliver-on-2030-sustainability-target-4935e7bd,Annual Report 2023 (MFN/Cision),mfn
