Fingerprint Cards B	SEK	18.60	0.00	0.00%	18.60	18.74	35,507	659,382	18:00:00
Flerie	SEK	37.20	-0.10	-0.26%	37.25	37.60	3,856	144,297	18:00:00
FM Mattsson B	SEK	77.60	-1.80	-2.26%	77.60	78.60	1,022,582	75,764,278	18:00:00
Formpipe Software	SEK	24.80	-0.50	-1.97%	24.70	25.10	11,148	276,405	18:00:00
Fortinova Fastigheter ser. B	SEK	28.30	0.00	0.00%	28.20	28.40	5,864	165,987	18:00:00
G5 Entertainment	SEK	90.90	-2.80	-2.98%	90.90	91.40	33,415	3,105,927	18:00:00
Garo	SEK	16.38	-0.10	-0.60%	16.26	16.50	48,318	791,822	18:00:00
Genova Property Group	SEK	42.50	-0.10	-0.23%	42.50	42.60	10,885	465,220	18:00:00
Gentoo Media	SEK	6.79	+0.05	+0.74%	6.72	6.79	71,428	484,277	18:00:00
Getinge B	SEK	222.40	-0.60	-0.26%	222.60	222.90	327,349	72,974,652	18:00:00
Green Landscaping Group	SEK	47.55	-1.05	-2.16%	47.55	47.65	36,405	1,740,147	18:00:00
Gruvaktiebolaget Viscaria	SEK	20.90	+0.55	+2.70%	20.70	20.95	1,151,478	23,522,498	18:00:00
Gränges	SEK	149.10	-4.20	-2.73%	149.50	149.70	406,313	61,554,070	18:00:00
Hacksaw	SEK	58.03	-0.26	-0.44%	58.00	58.10	577,783	33,446,216	18:00:00
HAKI Safety A	SEK	25.00	+1.40	+5.93%			50	1,250	18:00:00
HAKI Safety B	SEK	21.80	+0.50	+2.34%	21.20	21.70	5,828	124,181	18:00:00
Hansa Biopharma	SEK	33.92	-0.56	-1.62%	33.98	34.06	181,717	6,217,726	18:00:00
HANZA	SEK	131.80	-2.00	-1.49%	131.80	132.40	92,918	12,211,289	18:00:00
HEBA B	SEK	31.15	-0.50	-1.57%	31.05	31.15	153,201	4,776,156	18:00:00
Hemnet Group	SEK	159.60	+0.60	+0.37%	158.40	158.70	295,759	47,286,319	18:00:00
Hennes & Mauritz B	SEK	177.55	-1.80	-1.00%	177.95	178.05	1,932,780	343,656,377	18:00:00
Hexagon B	SEK	106.20	-1.50	-1.39%	106.40	106.50	5,307,084	563,939,009	18:00:00
Hexatronic Group	SEK	23.18	-0.27	-1.15%	23.15	23.21	946,775	21,842,956	18:00:00
HEXPOL B	SEK	85.50	-0.65	-0.75%	85.50	85.75	1,028,124	87,925,094	18:00:00
HMS Networks	SEK	403.60	-3.80	-0.93%	402.80	403.60	30,465	12,297,587	18:00:00
Hoist Finance	SEK	117.70	+4.10	+3.60%	117.60	117.90	157,403	18,317,309	18:00:00
Holmen A	SEK	352.00	+3.00	+0.85%	350.00	354.00	5,937	2,077,567	18:00:00
Holmen B	SEK	355.40	+3.80	+1.08%	354.20	354.40	202,996	71,977,174	18:00:00
Hufvudstaden A	SEK	124.50	-0.60	-0.47%	124.60	124.70	177,250	22,089,908	18:00:00
Humana	SEK	50.70	+1.20	+2.42%	50.50	50.90	60,181	3,053,661	18:00:00
Humble Group	SEK	8.07	+0.04	+0.49%	8.03	8.09	240,004	1,921,402	18:00:00
Husqvarna A	SEK	47.70	-0.50	-1.03%	47.70	47.85	8,340	398,303	18:00:00
Husqvarna B	SEK	48.01	-0.13	-0.27%	47.76	47.84	791,269	37,931,911	18:00:00
Image Systems	SEK	1.115	0.00	0.00%	1.115	1.125	15,325	16,985	18:00:00
Immunovia	SEK	0.2015	+0.0029	+1.46%	0.1964	0.1994	5,260,752	1,045,522	18:00:00
Industrivärden A	SEK	441.60	+1.40	+0.31%	440.40	441.00	109,345	48,144,636	18:00:00
Industrivärden C	SEK	441.80	+1.30	+0.29%	440.70	440.90	478,622	210,592,085	18:00:00
Indutrade	SEK	236.80	+1.00	+0.42%	236.60	237.20	320,016	75,661,111	18:00:00
Infant Bacterial TherapeuticsB	SEK	49.15	+0.05	+0.10%	48.30	49.10	5,035	247,619	18:00:00
Infrea	SEK	14.25	-0.15	-1.04%	14.00	14.25	13,731	193,394	18:00:00
Inission B	SEK	50.20	-0.80	-1.56%	49.90	50.20	27,825	1,392,612	18:00:00
