CompanyName	Company_Identifier	What_to_capture	FiscalYear	IR_URL	Capture_attempt_date	AgentId	CaptureStatus	CaptureStatusDetails	milestone1_Establish_Connection	milestone2_Find_object_to_capture	milestone3_download_object	Milestone4_object_passed_validation	Report_URL	Source_Page	Pages	Size_MB	Probability_Annual_Report	Document_Type	Classification_Reasoning	User_Agent_Used	Validation_Status	Validation_Confidence	Validation_Issues	Validation_Date	Priority	Failure_Reason
Hexagon B	S14	Annual report	2024	https://hexagongroup.com/investors/	2025-12-22	A1	Downloaded	Successfully validated: 234 pages, 100.0% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://hexagongroup.com/investors/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:45	Complete ✓	
Lifco B	S17	Annual report	2019	https://www.lifco.se/investors/financial-reports	2025-12-22	A1	Downloaded	Successfully validated: 104 pages, 74.4% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.lifco.se/investors/financial-reports				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	74.4%		2025-12-22 00:46:34	Complete ✓	
Lifco B	S17	Annual report	2020	https://www.lifco.se/investors/financial-reports	2025-12-22	A1	Validation Failed	Validation failed: Year 2020 not found in PDF	Pass	Pass	Skipped	Failed			0.0	0.0		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Invalid	41.2%	Year 2020 not found in PDF	2026-01-03 15:39:44	Needs Work ⚠	Validation failed: Year 2020 not found in PDF
Lifco B	S17	Annual report	2021	https://www.lifco.se/investors/financial-reports	2025-12-22	A1	Downloaded	Successfully validated: 120 pages, 78.7% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.lifco.se/investors/financial-reports				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	78.7%		2025-12-22 00:46:34	Complete ✓	
Lifco B	S17	Annual report	2022	https://www.lifco.se/investors/financial-reports	2025-12-22	A1	Downloaded	Successfully validated: 156 pages, 88.3% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.lifco.se/investors/financial-reports				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	88.3%		2025-12-22 00:46:34	Complete ✓	
Lifco B	S17	Annual report	2023	https://www.lifco.se/investors/financial-reports	2025-12-22	A1	Downloaded	Successfully validated: 158 pages, 88.8% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.lifco.se/investors/financial-reports				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	88.8%		2025-12-22 00:46:33	Complete ✓	
Lifco B	S17	Annual report	2024	https://www.lifco.se/investors/financial-reports	2025-12-22	A1	Downloaded	Successfully validated: 154 pages, 87.7% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.lifco.se/investors/financial-reports				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	87.7%		2025-12-22 00:46:35	Complete ✓	
NIBE Industrier B	S18	Annual report	2019	https://www.nibe.com/investors	2025-12-22	A1		Failed to fetch 3 pages in a row (last: HTTP 404)	Failed	Not Attempted	Not Attempted	Not Attempted			0.0	0.0	0.00%		Failed to fetch 3 pages in a row (last: HTTP 404)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2019 (found 0 reports for other years)
NIBE Industrier B	S18	Annual report	2020	https://www.nibe.com/investors	2025-12-22	A1		Failed to fetch 3 pages in a row (last: HTTP 404)	Failed	Not Attempted	Not Attempted	Not Attempted			0.0	0.0	0.00%		Failed to fetch 3 pages in a row (last: HTTP 404)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2020 (found 0 reports for other years)
NIBE Industrier B	S18	Annual report	2021	https://www.nibe.com/investors	2025-12-22	A1		Failed to fetch 3 pages in a row (last: HTTP 404)	Failed	Not Attempted	Not Attempted	Not Attempted			0.0	0.0	0.00%		Failed to fetch 3 pages in a row (last: HTTP 404)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2021 (found 0 reports for other years)
NIBE Industrier B	S18	Annual report	2022	https://www.nibe.com/investors	2025-12-22	A1		Failed to fetch 3 pages in a row (last: HTTP 404)	Failed	Not Attempted	Not Attempted	Not Attempted			0.0	0.0	0.00%		Failed to fetch 3 pages in a row (last: HTTP 404)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2022 (found 0 reports for other years)
NIBE Industrier B	S18	Annual report	2023	https://www.nibe.com/investors	2025-12-22	A1		Failed to fetch 3 pages in a row (last: HTTP 404)	Failed	Not Attempted	Not Attempted	Not Attempted			0.0	0.0	0.00%		Failed to fetch 3 pages in a row (last: HTTP 404)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2023 (found 0 reports for other years)
NIBE Industrier B	S18	Annual report	2024	https://www.nibe.com/investors	2025-12-22	A1		Failed to fetch 3 pages in a row (last: HTTP 404)	Failed	Not Attempted	Not Attempted	Not Attempted			0.0	0.0	0.00%		Failed to fetch 3 pages in a row (last: HTTP 404)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2024 (found 0 reports for other years)
SAAB B	S20	Annual report	2019	https://www.saab.com/investors	2025-12-22	A1	Validated	Failed to fetch 3 pages in a row (last: HTTP 404)	Failed	Not Attempted	Not Attempted	Not Attempted	https://mb.cision.com/Public/183/3052150/a4884edc2fbcc65d.pdf	https://mfn.se/cis/a/saab/saab-publishes-its-annual-and-sustainability-report-2019-a3aae5a4	152.0	9.37	0.00%		Failed to fetch 3 pages in a row (last: HTTP 404)	Rotated (5 variants)	Valid	87.2%		2026-01-17 15:57:12	Complete ✓	No report URL found for 2019 (found 0 reports for other years)
SAAB B	S20	Annual report	2020	https://www.saab.com/investors	2025-12-22	A1	Validated	Failed to fetch 3 pages in a row (last: HTTP 404)	Failed	Not Attempted	Not Attempted	Not Attempted	https://mb.cision.com/Main/183/3300345/1382470.pdf	https://mfn.se/cis/a/saab/saab-publishes-its-annual-and-sustainability-report-2020-f33a68fa	166.0	6.92	0.00%		Failed to fetch 3 pages in a row (last: HTTP 404)	Rotated (5 variants)	Valid	90.9%		2026-01-17 15:57:12	Complete ✓	No report URL found for 2020 (found 0 reports for other years)
SAAB B	S20	Annual report	2021	https://www.saab.com/investors	2025-12-22	A1	Validated	Failed to fetch 3 pages in a row (last: HTTP 404)	Failed	Not Attempted	Not Attempted	Not Attempted	https://mb.cision.com/Main/183/3518932/1544477.pdf	https://mfn.se/cis/a/saab/saab-publishes-its-2021-annual-and-sustainability-report-88b24582	168.0	12.12	0.00%		Failed to fetch 3 pages in a row (last: HTTP 404)	Rotated (5 variants)	Valid	91.5%		2026-01-17 15:57:12	Complete ✓	No report URL found for 2021 (found 0 reports for other years)
